Category,Menu Item,Predicted Ingredients & Components
Appetizers,Oysters (3pc),"Fresh oysters on the half shell, lemon wedges, chili-vinegar or garlic butter dip"
Appetizers,Calamari,"Deep-fried squid rings, seasoned batter, parsley garnish, tartar sauce or chili-vinegar"
Appetizers,Buffalo Wings,"Deep-fried chicken wings, spicy cayenne pepper & butter glaze, ranch or blue cheese dip"
Appetizers,Nachos,"Tortilla chips, melted cheddar cheese sauce, ground beef, diced tomatoes, sour cream, jalapeños"
Appetizers,Bruschetta,"Toasted French baguette slices, diced tomatoes, garlic, fresh basil, extra virgin olive oil, balsamic reduction"
Appetizers,Cheese Sticks,"Breaded mozzarella cheese sticks, herbs, marinara or garlic mayo dip"
Appetizers,Mozzarella Bites,"Deep-fried bite-sized mozzarella balls, parsley garnish, garlic dipping sauce"
Appetizers,Soup of the Day,"Creamy mushroom or potato chowder base, chicken broth, heavy cream, croutons, fresh herbs"
Mains & Filipino Favorites,Chicken BBQ,"Grilled marinated chicken legs/thighs, sweet banana ketchup & soy glaze, garlic rice, soy-calamansi dipping sauce"
Mains & Filipino Favorites,Beef Kare-Kare,"Beef shank & tripe, thick peanut sauce, toasted ground rice, eggplant, bok choy (pechay), string beans (sitaw), banana blossom, side of sautéed shrimp paste (bagoong alamang), served with white rice"
Mains & Filipino Favorites,Beef Bulalo,"Beef shank with bone marrow, rich beef broth, corn on the cob, cabbage, bok choy, green beans, fish sauce (patis) & calamansi dip, served with white rice"
Mains & Filipino Favorites,Crispy Pata,"Deep-fried crispy pork knuckle/trotter, garlic-soy-vinegar dip with chili & red onions, served with white rice"
Mains & Filipino Favorites,Pinakbet,"Sautéed pork belly slices, shrimp paste (bagoong), bitter gourd (ampalaya), eggplant, okra, squash (kalabasa), string beans, tomatoes, onions, garlic"
Mains & Filipino Favorites,Pork Embutido,"Filipino pork meatloaf (ground pork, raisins, carrots, bell peppers, cheddar cheese, boiled eggs, breadcrumbs, sausages)"
Mains & Filipino Favorites,Kalderetang Kambing,"Goat meat stew, rich tomato sauce, liver spread, bell peppers, potatoes, carrots, chili peppers, green peas, served with white rice"
Mains & Filipino Favorites,Lechon Kawali,"Crispy deep-fried pork belly, sweet liver sauce (Mang Tomas) or spiced vinegar, served with white rice"
Mains & Filipino Favorites,Pancit Canton,"Stir-fried egg noodles, pork belly, chicken slices, shrimp, cabbage, carrots, snow peas, bell peppers, soy sauce, calamansi"
Mains & Filipino Favorites,Rellenong Bangus,"Pan-fried stuffed milkfish (deboned milkfish meat, raisins, carrots, green peas, onions, garlic, eggs), served with ketchup/sweet chili sauce"
Mains & Filipino Favorites,Crispy Dinuguan,"Crispy deep-fried pork belly pieces, savory pork blood stew, vinegar, siling haba (green chili), garlic, onions, served with white rice or puto"
Mains & Filipino Favorites,Pork Sisig,"Chopped pig face & pork belly, chicken liver, onions, chili peppers, calamansi juice, mayonnaise, topped with egg on a sizzling plate, served with white rice"
Asian Specialties,Pad Thai,"Stir-fried rice noodles, shrimp or chicken, tofu, bean sprouts, crushed peanuts, tamarind sauce, egg, green onions, lime wedge"
Asian Specialties,Ayam Goreng,"Indonesian-style fried chicken marinated in galangal, lemongrass, turmeric, coriander, and garlic, served with sambal and rice"
Asian Specialties,Chicken Yakisoba,"Stir-fried Japanese wheat noodles, chicken slices, cabbage, carrots, onions, savory-sweet yakisoba sauce, pickled ginger"
Asian Specialties,Japchae,"Stir-fried Korean glass noodles (dangmyeon), sliced beef, spinach, carrots, shiitake mushrooms, sesame oil, soy sauce, garlic"
Pizzas & Wings,Sisig Pizza,"Baked pizza crust, pork sisig toppings, mozzarella cheese, sliced green chilies, red onions, calamansi mayo drizzle"
Pizzas & Wings,Kani Pizza,"Baked pizza crust, crab stick strips (kani), Japanese mayonnaise, mozzarella cheese, diced mangoes, shredded nori"
Pizzas & Wings,Four-in-One Pizza,"Baked pizza crust divided into 4 quarters (Pepperoni, Cheese, Sisig, Kani), mozzarella cheese, tomato base"
Pizzas & Wings,Soy Garlic Wings,"Deep-fried chicken wings tossed in garlic-soy sauce, honey, ginger, and toasted sesame seeds"
Pizzas & Wings,Pesto Parmesan Wings,"Deep-fried chicken wings coated in sweet basil pesto sauce, garlic, and grated parmesan cheese"
Set Feasts & Platters,Handaan Sa Hapag,"Beef Bulalo, Crispy Pata, Pinakbet, Pork Embutido, Large Rice Platter, Mais con Yelo"
